misparmb,nefashot,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,c32-39 - סך הוצאות לא מזון,F_norm Sedentary cheapest- סך הוצאה נמוכה למספר הסלים,c3~ F_norm sedentary cheapest,,,misparmb,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2,c3^,zu
8011,2,9327,1309,8018,"1,268.53",TRUE,,,8011,9327,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"11,192.63","11,192.63"
67470,2,8436,1310,7126,"1,347.81",TRUE,,,67470,8436,1310,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"7,512.32","7,512.32"
50120,2,12670,1328,11342,"1,268.53",TRUE,,,50120,12670,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"11,192.63","11,192.63"
76091,2,5343,1337,4007,"1,347.81",TRUE,,,76091,5343,1337,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"9,180.37","9,180.37"
19885,2,14472,1373,13096,"1,427.10",TRUE,,,19885,14472,1373,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"9,310.58","9,310.58"
18036,2,14054,1377,12677,"1,427.10",TRUE,,,18036,14054,1377,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"10,057.11","10,057.11"
28803,2,13659,1386,12272,"1,427.10",TRUE,,,28803,13659,1386,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"9,310.58","9,310.58"
48710,2,14822,1387,13435,"1,347.81",TRUE,,,48710,14822,1387,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"13,737.42","13,737.42"
53710,2,11273,1432,9840,"1,506.38",TRUE,,,53710,11273,1432,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
86173,2,25061,1433,23628,"1,506.38",TRUE,,,86173,25061,1433,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
9431,2,9674,1435,8239,"1,506.38",TRUE,,,9431,9674,1435,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
23119,2,6841,1437,5405,"1,506.38",TRUE,,,23119,6841,1437,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
81174,2,10305,1439,8865,"1,506.38",TRUE,,,81174,10305,1439,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
16246,2,7504,1441,6063,"1,506.38",TRUE,,,16246,7504,1441,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
85282,2,6870,1442,5429,"1,506.38",TRUE,,,85282,6870,1442,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
22798,2,7046,1442,5604,"1,506.38",TRUE,,,22798,7046,1442,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
44750,2,12677,1444,11233,"1,506.38",TRUE,,,44750,12677,1444,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
24653,2,9038,1448,7592,"1,506.38",TRUE,,,24653,9038,1448,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
24745,2,17844,1451,16393,"1,506.38",TRUE,,,24745,17844,1451,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
10546,2,16689,1454,15236,"1,506.38",TRUE,,,10546,16689,1454,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
26146,2,7047,1455,5591,"1,506.38",TRUE,,,26146,7047,1455,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
26955,2,10254,1455,8799,"1,506.38",TRUE,,,26955,10254,1455,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
63735,2,12827,1455,11371,"1,506.38",TRUE,,,63735,12827,1455,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
24034,2,8048,1456,6591,"1,506.38",TRUE,,,24034,8048,1456,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
32086,2,11477,1458,10018,"1,506.38",TRUE,,,32086,11477,1458,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
11247,2,7546,1459,6086,"1,506.38",TRUE,,,11247,7546,1459,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
32110,2,6338,1460,4879,"1,506.38",TRUE,,,32110,6338,1460,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
31484,2,8486,1460,7025,"1,506.38",TRUE,,,31484,8486,1460,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
8839,2,9930,1463,8467,"1,506.38",TRUE,,,8839,9930,1463,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
83592,2,11432,1470,9963,"1,506.38",TRUE,,,83592,11432,1470,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
1875,2,5487,1472,4014,"1,506.38",TRUE,,,1875,5487,1472,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
72694,2,6218,1479,4740,"1,506.38",TRUE,,,72694,6218,1479,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
71944,2,12199,1482,10717,"1,506.38",TRUE,,,71944,12199,1482,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
2600,2,8389,1483,6905,"1,506.38",TRUE,,,2600,8389,1483,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
9217,2,8972,1488,7485,"1,506.38",TRUE,,,9217,8972,1488,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
65029,2,5617,1489,4128,"1,506.38",TRUE,,,65029,5617,1489,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
83345,2,10834,1492,9342,"1,506.38",TRUE,,,83345,10834,1492,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
40501,2,12388,1492,10894,"1,506.38",TRUE,,,40501,12388,1492,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
17707,2,6912,1494,5419,"1,506.38",TRUE,,,17707,6912,1494,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
61036,2,9989,1494,8494,"1,506.38",TRUE,,,61036,9989,1494,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
67736,2,8596,1496,7101,"1,506.38",TRUE,,,67736,8596,1496,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
30338,2,18065,1497,16569,"1,506.38",TRUE,,,30338,18065,1497,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
20750,2,7945,1498,6447,"1,506.38",TRUE,,,20750,7945,1498,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
11130,2,10883,1498,9384,"1,506.38",TRUE,,,11130,10883,1498,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
14076,2,16514,1498,15017,"1,506.38",TRUE,,,14076,16514,1498,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
78436,2,38734,1499,37235,"1,506.38",TRUE,,,78436,38734,1499,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"13,308.49","13,308.49"
