misparmb,persons_count,c3_actual,c30_actual,c31_actual,c32_actual,c33_actual,c34_actual,c35_actual,c36_actual,c37_actual,c38_actual,c39_actual,food_actual,nonfood_actual,FoodNorm-active
1396,7,8592,1349,625,1707,582,0,392,251,2431,75,1182,1974,6620,5549.8249070828
1404,4,12469,556,129,4470,1289,176,2289,300,2286,823,150,685,11783,4519.1431386246
1412,1,9709,1391,248,2449,1025,74,0,700,216,3445,161,1639,8070,1109.9649814166
1420,2,13588,2081,988,4479,1260,388,43,413,2352,1360,224,3069,10519,1823.5138980415
1438,2,5514,343,0,3161,460,0,0,89,624,721,115,343,5170,2140.6467498748
1446,6,22206,2171,164,5924,1677,70,1443,2869,5355,1918,616,2335,19872,5946.2409718745
1453,2,10336,553,257,6567,622,0,0,710,400,1227,0,810,9526,1982.0803239582
1461,5,20396,2578,893,6500,1168,1849,350,524,5096,1439,0,3471,16926,5074.1256293329
1479,2,19529,6282,24,5039,3638,698,0,494,2886,468,0,6306,13223,1744.2306850832
1487,2,24867,3124,990,5180,3613,635,0,627,711,8629,1358,4114,20753,1982.0803239582
1495,2,13047,3944,1276,2563,2023,140,1004,139,75,662,1222,5220,7828,2061.3635369165
1503,6,32307,4171,1667,4711,2436,346,2209,462,6990,8902,414,5838,26470,6421.9402496244
1511,2,17860,1406,308,4445,1158,45,0,1734,411,7352,1002,1714,16147,1982.0803239582
1529,2,10726,775,256,3059,1571,3362,100,526,150,670,257,1031,9695,1982.0803239582
1537,2,10863,3512,666,2925,1477,331,0,302,1164,341,144,4178,6684,1982.0803239582
1545,1,9484,3710,480,3058,747,0,381,228,217,446,218,4190,5295,872.1153425416
1552,3,6062,819,168,2711,1060,0,0,224,0,239,841,987,5075,2854.1956664997
1560,1,14499,980,108,4004,969,130,0,360,355,6614,979,1088,13411,1189.2481943749
1578,1,7057,1584,61,2510,768,79,1104,241,201,509,1,1645,5413,872.1153425416
1586,1,5570,1414,0,3183,200,0,0,228,226,302,17,1414,4156,1109.9649814166
1594,2,20162,1650,818,3275,1362,60,0,2811,1301,2388,6497,2468,17694,1982.0803239582
1602,2,25174,2315,648,5688,2559,197,166,554,1252,11026,769,2963,22211,1982.0803239582
1610,3,19543,2890,1092,4934,1255,2338,0,713,2625,3461,235,3982,15561,2616.3460276248
1628,4,24114,5596,1023,4309,1665,1367,0,633,3875,5390,257,6619,17496,3884.8774349580
1636,2,11047,1703,247,5459,1395,43,0,1242,693,265,0,1950,9097,1982.0803239582
1644,2,7210,1957,445,3213,904,0,0,100,190,400,0,2402,4807,1982.0803239582
1651,2,9919,2735,407,3255,549,116,0,726,200,971,959,3142,6776,1982.0803239582
1669,2,19844,3068,2034,5790,6481,0,0,547,442,1482,0,5102,14742,1982.0803239582
1677,1,8026,1793,236,3313,443,0,262,399,899,681,0,2029,5997,1189.2481943749
1685,1,11995,1224,705,7117,1503,67,0,320,478,547,33,1929,10065,872.1153425416
1693,2,9724,1764,91,5305,686,0,0,211,1314,353,0,1855,7869,2140.6467498748
1701,1,6851,1256,0,2610,315,0,0,391,125,451,1701,1256,5593,872.1153425416
1719,4,16474,2355,190,4243,1031,579,0,500,4971,1895,709,2545,13928,3171.3285183330
1727,1,4133,370,94,2678,742,0,0,0,140,30,78,464,3668,1109.9649814166
1735,5,22081,3658,1061,5093,1779,767,1554,1933,3954,2126,157,4719,17363,4598.4263515829
1743,3,6295,1798,402,1843,1484,0,241,176,0,190,161,2200,4095,3171.3285183330
1750,3,9432,2057,1252,1960,668,43,0,1353,301,1701,98,3309,6124,3171.3285183330
1768,2,5615,0,48,2707,545,22,50,1267,697,279,0,48,5567,1982.0803239582
1776,5,4454,1008,175,1960,491,174,0,0,94,553,0,1183,3272,4122.7270738330
1784,7,14525,2522,1331,1960,634,171,693,1963,830,3550,873,3853,10674,6976.9227403327
1792,4,12511,2532,698,3955,1164,201,1255,1050,948,630,79,3230,9282,4360.5767127079
1800,2,5803,1148,136,3472,393,0,0,170,221,263,0,1284,4519,1982.0803239582
1818,2,11443,753,369,4574,591,65,0,1800,2351,557,384,1122,10322,1982.0803239582
1826,5,19593,2914,948,2870,1705,234,422,107,501,9892,0,3862,15731,5153.4088422912
1834,2,7153,2571,652,2870,134,134,0,382,0,411,0,3223,3931,1982.0803239582
1842,2,8056,1487,432,1960,722,163,100,230,228,2660,74,1919,6137,1744.2306850832
1859,3,16650,1585,796,1960,1572,384,409,180,943,1047,7773,2381,14268,2854.1956664997
1867,9,13568,5462,1523,2565,1557,33,0,104,110,413,1801,6985,6583,9751.8351938741
1875,2,5487,1098,374,2033,286,184,622,345,201,125,218,1472,4014,1982.0803239582
1891,3,8204,2774,167,1707,889,84,0,221,536,1827,0,2941,5264,2616.3460276248
1909,1,3096,353,171,1578,100,94,180,260,190,170,0,524,2572,872.1153425416
1917,2,5309,503,306,1943,447,501,0,438,384,786,0,809,4499,1982.0803239582
1925,2,2319,388,252,122,195,0,0,980,52,330,0,640,1679,1982.0803239582
1933,4,21537,3294,1430,5176,2175,1737,731,1542,1456,3133,863,4724,16813,3805.5942219997
1941,4,24091,2950,855,5595,1986,1279,200,1751,4621,2451,2403,3805,20286,4202.0102867913
1958,3,21566,3177,1431,5795,1675,966,435,4658,1243,980,1207,4608,16959,2933.4788794581
1966,3,12337,589,0,3078,6728,398,0,253,476,641,175,589,11749,2854.1956664997
1974,2,19091,3077,922,4229,1706,341,0,4216,1173,1444,1984,3999,15093,1982.0803239582
1982,1,7715,1251,63,3459,445,55,0,322,2007,113,0,1314,6401,872.1153425416
1990,5,13390,1197,125,3529,522,77,351,2327,2090,1548,1624,1322,12068,3805.5942219997
2006,3,11825,2234,691,4145,700,43,585,1,214,1356,1856,2925,8900,2933.4788794581
2014,2,8584,686,319,3614,924,0,1556,100,726,457,201,1005,7578,1744.2306850832
2022,1,7743,2424,99,4095,484,0,0,150,80,411,0,2523,5220,1109.9649814166
2030,2,18230,2685,533,5761,1072,764,245,2133,2411,1769,857,3218,15012,1982.0803239582
2048,6,29113,5765,1709,7401,1793,464,301,1381,6117,3342,839,7474,21638,5708.3913329995
2055,2,38298,7550,930,5187,1869,701,2571,926,2478,13573,2513,8480,29818,1982.0803239582
2063,5,21740,2426,1557,7236,2666,0,699,609,4432,1417,698,3983,17757,4756.9927774996
2071,2,9732,851,545,2020,254,0,0,5368,0,694,0,1396,8336,1982.0803239582
2089,2,5855,372,60,4037,820,0,0,345,0,222,0,432,5424,1982.0803239582
2097,2,7775,0,0,4219,987,0,0,0,35,561,1974,0,7776,1982.0803239582
2105,3,6899,475,293,4368,1075,229,0,191,0,138,130,768,6131,2695.6292405831
2113,6,11402,2078,754,4309,693,295,542,114,2322,137,159,2832,8571,4756.9927774996
2121,2,7311,1354,872,3849,242,48,0,126,292,75,453,2226,5085,1982.0803239582
2139,8,6478,0,0,3849,591,40,0,192,1705,101,0,0,6478,7373.3388051243
2147,10,18036,2304,868,4977,1359,1383,0,492,2818,2049,1787,3172,14865,8641.8702124575
2154,9,12061,647,370,4910,978,77,91,184,3096,146,1562,1017,11044,7769.7548699160
2162,1,12517,965,474,3732,441,1362,0,102,761,4641,39,1439,11078,872.1153425416
2170,7,14412,506,134,3459,473,1375,4541,1444,866,559,1054,640,13771,5232.6920552495
2188,1,7827,445,597,4145,614,60,201,345,167,650,602,1042,6784,872.1153425416
2196,1,5880,211,0,3459,510,50,210,707,427,175,130,211,5668,872.1153425416
2204,1,8896,523,528,4145,795,0,0,855,304,1415,331,1051,7845,872.1153425416
2212,3,11200,1016,307,3991,440,2479,187,1056,1473,30,221,1323,9877,2695.6292405831
2220,5,14564,2547,429,4257,783,375,1333,244,1919,1252,1425,2976,11588,4043.4438608746
2238,2,14134,1093,61,4795,2644,0,0,1817,682,2895,148,1154,12981,1982.0803239582
2246,5,12280,2120,957,3847,1059,22,261,550,938,1929,599,3077,9205,5311.9752682078
2253,5,24836,2788,536,6159,1710,305,0,720,541,10248,1829,3324,21512,5232.6920552495
2261,4,6440,266,0,2912,631,0,502,446,1120,464,100,266,6175,3250.6117312914
2279,3,15898,866,941,6159,5721,78,186,1003,131,460,352,1807,14090,3171.3285183330
2287,1,11638,2017,654,5522,1166,0,301,181,428,1369,0,2671,8967,1109.9649814166
2295,2,14323,645,1597,3012,1211,445,1255,1169,1362,2963,663,2242,12080,2140.6467498748
2303,4,31509,2927,0,4426,1821,87,482,157,18007,3101,501,2927,28582,3805.5942219997
2311,2,33271,2354,55,6591,1501,0,0,89,26,22655,0,2409,30862,2061.3635369165
2329,4,17045,2906,1091,4666,2140,220,201,1396,666,2757,1003,3997,13049,4043.4438608746
2337,4,19062,2430,724,4667,1024,983,2204,992,2279,3521,238,3154,15908,4519.1431386246
2345,3,14265,1814,1342,4759,2209,39,0,1073,825,1887,316,3156,11108,3171.3285183330
2352,5,24091,2925,529,5982,1413,1265,472,732,3125,6637,1012,3454,20638,4519.1431386246
2360,3,34811,80,113,4641,1565,2121,411,19118,602,5986,175,193,34619,3171.3285183330
2378,2,10398,2626,1363,3865,593,17,0,840,146,904,44,3989,6409,2061.3635369165
2386,7,13994,2569,504,4993,582,87,50,0,955,4254,0,3073,10921,6263.3738237078
2394,6,12521,1255,178,4993,1465,426,378,162,1163,2348,153,1433,11088,5311.9752682078
2402,4,5427,517,0,2783,652,244,20,12,574,30,597,517,4912,3250.6117312914
2410,2,7700,1610,458,2687,1091,163,0,1234,67,146,243,2068,5631,1982.0803239582
2428,6,9926,1486,809,3485,634,0,0,357,951,716,1489,2295,7632,4519.1431386246
2436,4,18341,3676,1099,3485,973,4440,39,1045,1479,1536,569,4775,13566,4043.4438608746
2444,9,12580,366,236,3485,1187,276,1777,407,3929,400,516,602,11977,7690.4716569576
2451,7,25047,1531,1976,4993,2384,481,371,555,11920,537,300,3507,21541,6104.8073977911
2469,5,19860,6575,1415,6198,1418,557,305,29,2104,325,934,7990,11870,5311.9752682078
2477,5,20372,1865,107,501,4890,0,2138,3755,2017,3085,2014,1972,18400,4836.2759904579
2485,1,15450,81,81,3514,1069,9352,0,0,1169,183,0,162,15287,1109.9649814166
2493,3,17721,3392,1170,6446,1013,0,0,680,360,2945,1715,4562,13159,3171.3285183330
2501,5,8950,1466,502,2565,1786,134,731,90,590,628,458,1968,6982,5787.6745459578
2519,4,17630,2744,2016,3533,1523,251,381,1256,4127,841,960,4760,12872,3805.5942219997
2527,1,4324,218,196,1965,290,160,251,654,0,70,520,414,3910,872.1153425416
2535,5,10608,1156,414,3226,1297,267,1242,142,919,1900,43,1570,9036,5470.5416941245
2543,5,14249,1488,925,2541,472,1692,2374,152,196,3644,765,2413,11836,4915.5592034162
2550,3,14819,2000,1394,2517,2438,350,0,942,60,4377,741,3394,11425,3171.3285183330
2568,2,14313,1566,428,2517,1506,338,3707,960,120,3055,117,1994,12320,1744.2306850832
2576,2,9825,1575,0,2517,1012,225,1483,1140,60,448,1366,1575,8251,2140.6467498748
2584,2,10035,2151,0,3226,1010,40,0,101,1442,1847,218,2151,7884,2061.3635369165
2592,3,14329,3516,1309,2218,2095,480,894,2320,501,778,218,4825,9504,3171.3285183330
2600,2,8389,829,654,3325,1235,0,150,406,224,1475,90,1483,6905,1982.0803239582
2618,5,19003,703,185,5382,1819,1657,1205,1058,5421,1546,29,888,18117,5074.1256293329
2626,1,5942,586,278,3108,413,0,0,591,785,181,0,864,5078,872.1153425416
2634,6,24638,1757,510,5582,3617,282,70,599,2224,9442,555,2267,22371,6104.8073977911
2642,6,43883,2446,509,5051,2888,1043,753,1117,16305,12508,1263,2955,40928,4994.8424163745
2659,1,11785,125,483,4960,1122,0,0,1535,1282,1626,652,608,11177,872.1153425416
2667,4,17273,2876,691,3989,865,0,211,366,5007,2874,394,3567,13706,3171.3285183330
2675,2,17989,3864,699,5029,2313,72,0,973,665,2416,1958,4563,13426,2061.3635369165
2683,2,17441,2584,527,4073,1334,128,0,449,337,8007,0,3111,14328,1982.0803239582
2691,4,17162,2367,223,5100,1864,167,351,1045,2801,3168,75,2590,14571,4202.0102867913
2709,5,32421,2206,523,5137,1796,537,80,3315,7111,11694,21,2729,29691,4122.7270738330
2717,5,28927,4250,705,4683,4086,59,364,2105,2780,9736,159,4955,23972,5074.1256293329
2725,2,3312,0,0,2135,386,0,0,572,0,186,33,0,3312,1982.0803239582
2733,4,13970,2231,947,6131,1493,50,231,579,234,1922,152,3178,10792,4281.2934997496
2741,2,1364,141,65,603,363,0,0,0,0,60,131,206,1157,1823.5138980415
2758,3,566,414,0,0,2,0,0,1,0,149,0,414,152,2854.1956664997
2766,2,483,388,0,0,2,0,0,2,0,90,0,388,94,2378.4963887498
2774,3,5535,1103,0,3012,908,0,331,0,0,182,0,1103,4433,2774.9124535414
2782,3,8931,837,403,4332,1488,70,251,174,1072,303,0,1240,7690,3171.3285183330
2790,4,17686,1992,955,3791,924,100,956,2167,261,6260,279,2947,14738,3171.3285183330
2808,2,10121,1129,406,4332,1297,0,0,1241,301,1306,109,1535,8586,1982.0803239582
2816,1,7776,1192,350,3691,1155,22,80,48,415,690,134,1542,6235,1189.2481943749
2824,2,17817,2322,1117,4545,1934,3342,301,724,1458,1974,100,3439,14378,1982.0803239582
2832,3,15647,1228,50,3431,1110,1807,303,471,2397,3983,866,1278,14368,2695.6292405831
2840,6,25832,4255,1101,6612,2695,1672,639,973,2682,4244,959,5356,20476,5391.2584811662
2857,4,20757,3768,646,6354,1687,947,1305,564,2253,3234,0,4414,16344,4122.7270738330
2865,3,7778,233,0,4296,993,0,0,1861,1,395,0,233,7546,3171.3285183330
2873,2,38784,6212,1703,5732,2754,653,2893,1222,4627,11661,1327,7915,30869,1982.0803239582
2881,3,17399,3017,167,2714,1059,889,261,2304,301,2237,4450,3184,14215,2695.6292405831
2899,1,6635,165,217,4884,622,0,0,227,121,338,60,382,6252,1109.9649814166
2907,4,8645,2243,149,2002,1356,22,300,1222,434,917,0,2392,6253,4202.0102867913
2915,1,9234,478,249,8308,1,0,0,71,1,126,0,727,8507,1109.9649814166
2923,1,9239,748,422,6807,1,0,402,858,1,1,0,1170,8070,872.1153425416
2931,1,21441,1819,412,15015,1,280,0,798,1280,1837,0,2231,19211,1109.9649814166
2949,3,22423,670,471,4386,1441,697,1104,899,3269,9452,33,1141,21281,2616.3460276248
2956,1,4335,788,640,371,537,200,251,855,216,260,217,1428,2907,872.1153425416
2964,6,31133,5889,1110,2604,6303,301,1137,1610,2717,4403,5059,6999,24134,6184.0906107494
2972,2,17534,1205,331,1868,559,335,251,794,1767,9970,455,1536,15999,2140.6467498748
2980,2,13303,1757,293,5461,1318,531,50,884,2426,125,456,2050,11251,1982.0803239582
2998,5,10054,3565,227,2309,1617,59,0,107,1459,532,178,3792,6261,3805.5942219997
3004,2,16936,2106,477,5815,1719,147,1107,667,294,4346,258,2583,14353,1982.0803239582
3012,6,44065,4035,1622,5730,2545,1118,14267,1952,1484,9300,2011,5657,38407,6263.3738237078
3020,5,25632,3854,1053,5864,3591,130,0,2287,2815,4067,1971,4907,20725,5232.6920552495
3038,3,19326,833,667,5965,8730,96,0,1310,1291,434,0,1500,17826,2854.1956664997
3046,3,23123,1150,292,4243,813,0,144,281,10476,5682,43,1442,21682,2695.6292405831
3053,4,14311,1285,78,5630,2367,0,0,4176,183,592,0,1363,12948,3329.8949442497
