Family Composition,Is Sedentary,ZL,ZU,Mean Expenditures,Median Expenditures,Mean Food Expenditures,Median Food Expenditures,Food Expense Ratio (%),Food Norm,Poverty Rate (%),Poverty Gap,Poverty Severity,Count
"Active: 0-4:2.0F, 18-29:1.0F, 30-49:1.0M",False,6858.530966199999,16961.912228,3250.61,3250.61,4256.777777777777,3503.0,130.95319886968224,4122.73,0.0,0,0,9
"Active: 0-4:1.0M+1.0F, 5-9:1.0M, 30-49:1.0M+1.0F",False,5459.00010334,21075.493643399997,3964.1600000000003,3964.16,4023.0,3715.0,101.48429932192444,3647.03,0.0,0,0,9
"Active: 10-14:1.0M+1.0F, 30-49:1.0M+1.0F",False,4267.8486821,18963.6468098,3964.16,3964.16,4409.625,3217.5,111.23731130933163,2854.2,0.0,0,0,8
"Active: 0-4:1.0M+1.0F, 18-29:1.0F, 30-49:1.0M",False,1914.4939576400002,16134.634983400001,3250.61,3250.61,6509.5,2949.0,200.2547214215178,1506.38,0.0,0,0,8
"Active: 18-29:1.0M, 50+:1.0M",False,2683.77067986,10167.1967756,2299.21,2299.21,3724.125,3874.5,161.9741128474563,1664.95,0.0,0,0,8
"Active: 0-4:2.0M, 18-29:1.0F, 30-49:1.0M",False,5850.17694908,15307.3577388,3250.61,3250.61,3677.5,3347.5,113.13261203281843,3329.89,0.0,0,0,8
"Active: 5-9:1.0F, 10-14:1.0M+1.0F, 30-49:1.0M+1.0F",False,4420.6857207,21276.069394799997,4677.71,4677.71,3817.25,3573.5,81.60510164161524,3012.76,0.0,0,0,8
"Active: 5-9:1.0F, 30-49:1.0M+1.0F",False,1744.5024260000002,15316.6063214,2774.91,2774.91,5087.75,5676.5,183.3482887733296,1506.38,0.0,0,0,8
"Active: 5-9:1.0M, 10-14:1.0M+1.0F, 30-49:1.0M+1.0F",False,3224.4168812000007,22651.039976400003,4756.99,4756.99,4273.875,4326.0,89.84410309880828,2457.78,0.0,0,0,8
"Active: 18-29:1.0M, 30-49:1.0F, 50+:1.0M+1.0F",False,1133.2913808600001,20579.390054900003,4043.4399999999996,4043.44,2688.714285714286,1996.0,66.49571369216028,1585.66,0.0,0,0,7
"Active: 15-17:1.0F, 18-29:2.0M, 50+:1.0M+1.0F",False,6318.063870219999,22499.0290752,5311.9800000000005,5311.98,3957.285714285714,2979.0,74.49737601206546,3964.16,0.0,0,0,7
