misparmb,c3,FoodNorm-active,FoodNorm-sendetary,food_actual,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
35956,2480,"1,109.96","2,061.36","1,397.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
69617,2488,951.40,"1,506.38","5,146.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
73445,2493,"1,189.25","1,506.38","3,706.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
45344,2503,"1,189.25","1,664.95","1,890.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
11536,2523,"1,109.96","1,664.95",758.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79327,2539,951.40,"2,457.78","3,324.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
71928,2562,"2,061.36","2,457.78","5,967.00",0,0,0,0,0,0,0,0,0,0,1,1,0,0
27326,2566,"1,982.08","2,457.78","8,757.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
79285,2569,951.40,"3,329.89","8,542.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
174,2582,"1,109.96","3,329.89","7,460.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
46110,2585,"1,982.08","3,329.89","9,773.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
28332,2587,872.12,"3,329.89",266.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38745,2602,872.12,"3,329.89","3,867.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
79244,2605,"1,189.25","4,202.01","3,776.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
84038,2621,872.12,"4,202.01","6,446.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
4010,2637,"1,189.25","4,202.01","6,433.00",0,0,0,0,0,0,0,0,0,0,1,0,0,0
