misparmb,c3 - סך כל ההוצאות,F_norm Active cheapest - סך הוצאה נמוכה למספר הסלים,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
58784,2821,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
27474,2825,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16998,2829,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55848,2837,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42804,2849,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33423,2856,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17780,2873,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
40691,2884,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37101,2891,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87163,2901,872.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56564,2905,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69591,2918,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59600,2965,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37028,2966,"4,360.58",0,0,0,0,0,0,2,0,0,1,0,0,0,1
44800,2973,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79103,2988,"3,250.61",0,0,0,0,0,0,0,0,0,0,2,0,0,1
11452,2993,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
64691,2994,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
68957,3017,"2,854.20",0,0,0,0,0,0,0,0,0,3,0,0,0,0
19331,3021,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
19141,3033,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
3483,3042,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73320,3054,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87601,3061,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
11346,3082,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
25197,3083,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
64618,3086,"1,268.53",0,0,0,0,0,0,1,0,0,0,0,0,0,0
1909,3096,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50211,3101,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
281,3103,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
17913,3103,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
72496,3107,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
13979,3121,"2,695.63",1,0,0,0,0,0,0,0,1,1,0,0,0,0
34694,3128,"1,823.51",0,0,0,0,0,0,0,1,0,0,0,0,0,1
82040,3132,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
30684,3140,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
711,3144,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
13367,3165,"2,140.65",0,0,0,0,0,0,0,0,1,1,0,0,0,0
90134,3165,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17954,3168,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17772,3185,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59329,3190,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
66944,3191,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
49080,3192,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
3962,3255,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79525,3260,"1,506.38",0,1,0,0,0,0,0,0,0,1,0,0,0,0
73361,3267,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3509,3269,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
